line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr     10^53 g cm2/s

  9  0.282551058209081E+07   11.994403  4.014002  4.443965  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3472  4.443965   -8.665  0.917068  7.528807  0.6518065E+00  0.3343962E+00  4.4605201E-05  1.2101811E-05  7.3786402E-03  1.0539401E-03  5.5655826E-06  3.8315142E-09  1.8691566E-03  3.9663990E-09  7.103E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.022766  0.0000000E+00  0.0000000000E+00
 10  0.313950806552188E+07   11.993715  4.018875  4.443331  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3445  4.443331   -8.654  0.916051  7.529223  0.6435133E+00  0.3427079E+00  4.5466267E-05  1.2334381E-05  7.5067195E-03  9.0688183E-04  4.7641478E-06  3.2926413E-09  1.8684030E-03  4.3095169E-09  6.781E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.023024  0.0000000E+00  0.0000000000E+00
 11  0.344501913048184E+07   11.993030  4.023554  4.442713  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3415  4.442713   -8.645  0.915210  7.529710  0.6353152E+00  0.3509212E+00  4.6183797E-05  1.2528485E-05  7.6111087E-03  7.8699746E-04  4.1110674E-06  2.8527236E-09  1.8676669E-03  4.6774895E-09  6.472E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.023275  0.0000000E+00  0.0000000000E+00
 12  0.374204377697069E+07   11.992349  4.028285  4.442146  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3386  4.442146   -8.634  0.914625  7.530322  0.6272091E+00  0.3590397E+00  4.6810425E-05  1.2696618E-05  7.6967951E-03  6.8853167E-04  3.5744211E-06  2.4917611E-09  1.8669453E-03  5.0799215E-09  6.183E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.023531  0.0000000E+00  0.0000000000E+00
 13  0.402956363477190E+07   11.991673  4.033069  4.441597  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3369  4.441597   -8.624  0.914432  7.530966  0.6191957E+00  0.3670634E+00  4.7336163E-05  1.2840857E-05  7.7676124E-03  6.0713868E-04  3.1274555E-06  2.1910845E-09  1.8662361E-03  5.5289791E-09  5.923E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.023793  0.0000000E+00  0.0000000000E+00
 14  0.431605663593812E+07   11.990984  4.037671  4.441040  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3342  4.441040   -8.614  0.914074  7.531722  0.6110630E+00  0.3752049E+00  4.7952435E-05  1.3011650E-05  7.8276839E-03  5.3783666E-04  2.7196512E-06  1.9313331E-09  1.8655191E-03  6.0570205E-09  5.679E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.024048  0.0000000E+00  0.0000000000E+00
 15  0.459582839367521E+07   11.990296  4.042419  4.440510  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3320  4.440510   -8.604  0.914107  7.532517  0.6029256E+00  0.3833495E+00  4.8385639E-05  1.3127928E-05  7.8782401E-03  4.7963018E-04  2.4079801E-06  1.7189429E-09  1.8648030E-03  6.6147787E-09  5.460E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.024313  0.0000000E+00  0.0000000000E+00
 16  0.487560015141231E+07   11.989591  4.047173  4.439956  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3295  4.439956   -8.594  0.914201  7.533330  0.5946518E+00  0.3916296E+00  4.8755674E-05  1.3228700E-05  7.9213827E-03  4.2995598E-04  2.1427847E-06  1.5371604E-09  1.8640758E-03  7.2054056E-09  5.250E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.024582  0.0000000E+00  0.0000000000E+00
 17  0.514024911143388E+07   11.988909  4.051695  4.439391  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3269  4.439391   -8.584  0.914312  7.534056  0.5866426E+00  0.3996439E+00  4.9094611E-05  1.3320133E-05  7.9564927E-03  3.8946834E-04  1.9272730E-06  1.3897578E-09  1.8633717E-03  7.8183635E-09  5.064E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.024841  0.0000000E+00  0.0000000000E+00
 18  0.540489807145546E+07   11.988211  4.056419  4.438901  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3245  4.438901   -8.574  0.914775  7.535086  0.5784634E+00  0.4078275E+00  4.9430179E-05  1.3409692E-05  7.9867112E-03  3.5455116E-04  1.7401418E-06  1.2624183E-09  1.8626513E-03  8.5739122E-09  4.889E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.025114  0.0000000E+00  0.0000000000E+00
