Mass	0.014	0.002
0.8	    -0.59	-0.29
0.9	    -0.36	-0.05
1	    -0.14	0.16
2	    1.21	1.4
4	    2.37	2.49
7	    3.22	3.29
12	    3.98	4.01
15	    4.27	4.28
20	    4.61	4.62
25	    4.87	4.87
32	    5.13	5.12
40	    5.34	5.34
60	    5.7	    5.7
85	    5.98	5.98
120	    6.23	6.23
